frame,track_id,class_name,x1,y1,x2,y2,confidence,speed,direction
13,4,car,0,201,250,479,0.4204963147640228,4.123105625617661,-2.896613990462929
13,5,bus,446,179,539,354,0.9067473411560059,1.118033988749895,2.0344439357957027
13,7,person,617,268,639,389,0.5649476647377014,1.0,0
13,8,truck,0,201,250,479,0.3183150887489319,3.640054944640259,-2.8632929945846817
13,10,car,301,291,335,341,0.3077238202095032,1.118033988749895,1.1071487177940904
14,1,car,311,297,385,362,0.8560842871665955,2.9154759474226504,2.601173153319209
14,2,car,396,289,445,344,0.7175495028495789,1.118033988749895,1.1071487177940904
14,3,person,577,261,614,386,0.8456370830535889,1.5,1.5707963267948966
14,4,car,0,200,249,479,0.3232528865337372,4.123105625617661,-2.896613990462929
14,5,bus,446,179,539,356,0.9161565899848938,0.5,0
14,7,person,617,269,639,380,0.5248585343360901,2.5495097567963922,1.373400766945016
14,8,truck,0,201,248,479,0.5735356211662292,4.6097722286464435,-2.922923707715851
14,10,car,302,293,338,340,0.6207932829856873,2.692582403567252,1.1902899496825317
15,1,car,309,298,384,363,0.854844331741333,2.1213203435596424,2.356194490192345
15,2,car,395,290,443,345,0.5647411942481995,1.5811388300841898,1.892546881191539
15,3,person,578,261,615,385,0.8447625041007996,2.23606797749979,0.4636476090008061
15,4,truck,0,198,239,479,0.5862744450569153,0.7071067811865476,0
15,5,bus,446,179,540,357,0.9183092713356018,1.0,0
15,7,person,617,268,639,378,0.5607013702392578,4.0,-1.5707963267948966
15,8,bus,0,200,239,479,0.3834245502948761,1.0,0
15,10,car,304,292,340,341,0.3472338020801544,2.0615528128088303,0.24497866312686414
16,1,car,307,299,384,365,0.8739792108535767,1.8027756377319946,2.5535900500422257
16,2,car,394,290,444,346,0.4978981018066406,1.8027756377319946,2.5535900500422257
16,3,person,578,261,616,386,0.8402397036552429,1.118033988749895,-0.4636476090008061
16,4,truck,0,197,229,479,0.6279524564743042,5.0990195135927845,-2.9441970937399127
16,5,bus,446,179,541,358,0.9161272644996643,0.7071067811865476,0
16,7,person,618,268,639,375,0.550072193145752,1.5,-1.5707963267948966
17,1,car,306,300,383,366,0.8769931793212891,1.8027756377319946,2.158798930342464
17,2,car,393,292,443,347,0.5569205284118652,0.5,0
17,3,person,580,261,619,389,0.8478764295578003,0.7071067811865476,0
17,4,train,0,201,215,479,0.6229058504104614,5.024937810560445,-3.0419240010986313
17,5,bus,446,178,541,359,0.9187107086181641,0.7071067811865476,0
17,7,person,621,269,639,375,0.5011206269264221,1.5811388300841898,-1.2490457723982544
18,1,car,305,299,383,367,0.8650732040405273,1.4142135623730951,2.356194490192345
18,2,car,392,292,444,348,0.644618034362793,1.8027756377319946,2.158798930342464
18,3,person,581,262,619,390,0.8629538416862488,2.9154759474226504,0.5404195002705842
18,4,train,0,201,198,479,0.3172418773174286,7.280109889280518,2.8632929945846817
18,5,bus,445,179,542,360,0.92279452085495,0.0,0
18,7,person,621,269,639,375,0.6115351319313049,1.5811388300841898,0.3217505543966422
18,8,car,0,203,195,479,0.35407891869544983,0.0,0
