frame,track_id,class_name,x1,y1,x2,y2,confidence,speed,direction
2,1,car,330,294,400,352,0.7691587209701538,0,0
2,2,car,403,287,446,340,0.72498619556427,0,0
2,3,person,571,259,606,380,0.6776730418205261,0,0
2,4,truck,60,223,324,479,0.3888341784477234,0,0
3,1,car,329,293,397,352,0.8923129439353943,0.0,0
3,2,car,401,287,447,338,0.6880915760993958,0.0,0
3,3,person,571,256,606,378,0.8478965759277344,0.0,0
3,4,car,41,221,320,479,0.6302368640899658,0.0,0
3,5,bus,452,184,540,347,0.9014630913734436,0,0
3,6,car,0,283,87,438,0.5821354389190674,0,0
3,7,person,615,266,639,417,0.5599661469459534,0,0
3,8,truck,42,220,320,480,0.4936525523662567,0,0
3,9,person,602,271,620,339,0.31306278705596924,0,0
4,1,car,328,292,395,352,0.8970182538032532,2.0615528128088303,-2.896613990462929
4,2,car,400,286,447,338,0.711116373538971,1.118033988749895,-2.0344439357957027
4,3,person,572,256,607,378,0.857458233833313,2.5,-1.5707963267948966
4,4,car,24,222,316,479,0.57527756690979,11.543396380615196,-3.054854314913808
4,5,bus,452,183,540,348,0.922500729560852,0.0,0
4,6,car,0,281,73,432,0.7714576125144958,0.0,0
4,7,person,614,266,639,426,0.6725633144378662,0.0,0
4,8,truck,26,220,315,480,0.581794023513794,0.0,0
5,1,car,326,292,395,353,0.8782973885536194,1.5811388300841898,-2.819842099193151
5,2,car,400,286,447,338,0.7804659605026245,0.7071067811865476,0
5,3,person,572,257,607,378,0.8382351398468018,1.0,0
5,4,car,8,221,309,479,0.6423101425170898,10.51189802081432,3.0940095503128098
5,5,bus,451,182,539,348,0.9216561317443848,0.0,0
5,6,car,0,282,61,434,0.6644452214241028,8.06225774829855,-2.62244653934327
5,7,person,617,267,639,433,0.38911110162734985,4.527692569068709,1.6814535479687922
5,8,truck,10,219,309,479,0.6064085960388184,10.5,3.141592653589793
5,10,car,301,284,326,336,0.46999242901802063,0,0
6,1,car,325,292,394,354,0.8724777102470398,1.118033988749895,2.677945044588987
